dataDate;community;province;selfConsumption;sumPouredEnergy_kWh;sumContracts;sumPower_kW
2024-05-30;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1793;151;640;
2024-05-30;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7543;1045;2993;
2024-05-30;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;732065;35547;206755;
2024-05-30;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;139341;7013;41286;
2024-05-30;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;636285;33738;190677;
2024-05-30;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1042;43937;
2024-05-30;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-30;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;882;50691;
2024-05-31;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-31;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;106;16;undefined;
2024-05-31;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;227439;14;151135;
2024-05-31;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3261;38;7237;
2024-05-31;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82317;18;33626;
2024-05-31;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;6064;61;19502;
2024-05-31;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2671;657;1181;
2024-05-31;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;879;76;330;
2024-05-31;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;1458;346;1260;
2024-05-31;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;1957;249;1041;
2024-05-31;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1777;151;640;
2024-05-31;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;5141;1049;2993;
2024-05-31;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;516576;35562;206755;
2024-05-31;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;109445;7018;41286;
2024-05-31;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;405867;33761;190677;
2024-05-31;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1043;43937;
2024-05-31;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-31;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;882;50691;
