dataDate;community;province;selfConsumption;sumPouredEnergy_kWh;sumContracts;sumPower_kW
2024-05-05;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2947;657;1181;
2024-05-05;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;966;76;330;
2024-05-05;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3088;336;1260;
2024-05-05;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2944;197;1041;
2024-05-05;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1853;133;640;
2024-05-05;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7958;1032;2993;
2024-05-05;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;709044;34882;206737;
2024-05-05;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;131553;6904;41266;
2024-05-05;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;626706;33223;190600;
2024-05-05;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1018;43932;
2024-05-05;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-05;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;861;50691;
2024-05-06;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;0;13;undefined;
2024-05-06;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;145;16;undefined;
2024-05-06;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;506571;14;151135;
2024-05-06;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;2008;36;7237;
2024-05-06;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;68735;18;33626;
2024-05-06;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;15509;58;19502;
2024-05-06;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;809;657;1181;
2024-05-06;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;797;76;330;
2024-05-06;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;1781;336;1260;
2024-05-06;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;966;197;1041;
2024-05-06;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1105;133;640;
2024-05-06;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;4150;1032;2993;
2024-05-06;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;237373;34882;206738;
2024-05-06;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;105442;6904;41266;
2024-05-06;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;391586;33223;190600;
2024-05-06;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1018;43932;
2024-05-06;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-06;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;861;50691;
2024-05-07;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-07;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;186;16;undefined;
2024-05-07;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;671610;14;151135;
2024-05-07;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4000;36;7237;
2024-05-07;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82446;18;33626;
2024-05-07;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;34457;58;19502;
2024-05-07;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3346;657;1181;
2024-05-07;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1206;76;330;
2024-05-07;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3189;337;1260;
2024-05-07;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3264;197;1041;
2024-05-07;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1847;136;640;
2024-05-07;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8277;1035;2993;
2024-05-07;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;750549;34905;206737;
2024-05-07;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;154104;6910;41266;
2024-05-07;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;689186;33248;190600;
2024-05-07;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1018;43932;
2024-05-07;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-07;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;864;50691;
2024-05-08;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-08;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;189;16;undefined;
2024-05-08;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;648640;14;151135;
2024-05-08;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3981;37;7237;
2024-05-08;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;83192;18;33626;
2024-05-08;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;51131;58;19502;
2024-05-08;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3564;657;1181;
2024-05-08;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1228;76;330;
2024-05-08;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3254;337;1260;
2024-05-08;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3562;197;1041;
2024-05-08;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1920;142;640;
2024-05-08;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8618;1035;2993;
2024-05-08;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;780175;34954;206740;
2024-05-08;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;156028;6914;41266;
2024-05-08;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;712982;33280;190600;
2024-05-08;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1019;43932;
2024-05-08;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-08;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-09;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-09;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;186;16;undefined;
2024-05-09;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;531624;14;151135;
2024-05-09;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4063;37;7237;
2024-05-09;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;81800;18;33626;
2024-05-09;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;27126;58;19502;
2024-05-09;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3522;657;1181;
2024-05-09;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1239;76;330;
2024-05-09;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3161;337;1260;
2024-05-09;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3358;197;1041;
2024-05-09;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1982;142;640;
2024-05-09;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8762;1035;2993;
2024-05-09;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;762150;34992;206739;
2024-05-09;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;153816;6920;41266;
2024-05-09;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;692293;33312;190600;
2024-05-09;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1019;43932;
2024-05-09;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;224;31793;
2024-05-09;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-10;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-10;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;191;16;undefined;
2024-05-10;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;595277;14;151135;
2024-05-10;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4269;37;7237;
2024-05-10;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82477;18;33626;
2024-05-10;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;21094;59;19502;
2024-05-10;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3512;657;1181;
2024-05-10;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1131;76;330;
2024-05-10;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3012;337;1260;
2024-05-10;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3275;202;1041;
2024-05-10;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1911;142;640;
2024-05-10;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8600;1040;2993;
2024-05-10;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;772123;35060;206740;
2024-05-10;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;143493;6926;41266;
2024-05-10;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;693985;33362;190600;
2024-05-10;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1019;43932;
2024-05-10;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;224;31793;
2024-05-10;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-11;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;2;13;undefined;
2024-05-11;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;176;16;undefined;
2024-05-11;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;482055;14;151135;
2024-05-11;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;5441;37;7237;
2024-05-11;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82851;18;33626;
2024-05-11;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;21552;59;19502;
2024-05-11;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2918;657;1181;
2024-05-11;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1081;76;330;
2024-05-11;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3093;337;1260;
2024-05-11;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3136;202;1041;
2024-05-11;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2191;151;640;
2024-05-11;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;9309;1040;2993;
2024-05-11;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;677367;35076;206740;
2024-05-11;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;142039;6928;41266;
2024-05-11;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;669908;33384;190600;
2024-05-11;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1021;43932;
2024-05-11;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;224;31793;
2024-05-11;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-12;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-12;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;182;16;undefined;
2024-05-12;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;402033;14;151135;
2024-05-12;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;7232;37;7237;
2024-05-12;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;27242;18;33626;
2024-05-12;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;36137;59;19502;
2024-05-12;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3753;657;1181;
2024-05-12;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1077;76;330;
2024-05-12;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3346;337;1260;
2024-05-12;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3890;202;1041;
2024-05-12;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2230;151;640;
2024-05-12;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;10042;1040;2993;
2024-05-12;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;841324;35079;206740;
2024-05-12;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;140687;6929;41266;
2024-05-12;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;722636;33386;190600;
2024-05-12;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1021;43932;
2024-05-12;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;224;31793;
2024-05-12;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-13;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-13;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;163;16;undefined;
2024-05-13;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;559160;14;151135;
2024-05-13;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3665;37;7237;
2024-05-13;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;66806;18;33626;
2024-05-13;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;18877;59;19502;
2024-05-13;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3169;657;1181;
2024-05-13;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;971;76;330;
2024-05-13;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2407;337;1260;
2024-05-13;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3041;202;1041;
2024-05-13;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1614;151;640;
2024-05-13;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7019;1040;2993;
2024-05-13;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;688941;35080;206744;
2024-05-13;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;121754;6929;41266;
2024-05-13;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;566732;33386;190600;
2024-05-13;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1021;43932;
2024-05-13;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;224;31793;
2024-05-13;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;865;50691;
2024-05-14;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-14;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;153;16;undefined;
2024-05-14;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;621158;14;151135;
2024-05-14;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3269;37;7237;
2024-05-14;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;85523;18;33626;
2024-05-14;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;21332;60;19502;
2024-05-14;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3163;657;1181;
2024-05-14;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;980;76;330;
2024-05-14;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2811;337;1260;
2024-05-14;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2953;202;1041;
2024-05-14;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1571;151;640;
2024-05-14;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7640;1040;2993;
2024-05-14;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;660589;35123;206744;
2024-05-14;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;132014;6933;41266;
2024-05-14;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;599891;33415;190602;
2024-05-14;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1022;43932;
2024-05-14;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;225;31793;
2024-05-14;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;868;50691;
2024-05-15;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-15;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;182;16;undefined;
2024-05-15;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;668118;14;151135;
2024-05-15;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4001;38;7237;
2024-05-15;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82846;18;33626;
2024-05-15;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;30759;60;19502;
2024-05-15;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3681;657;1181;
2024-05-15;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;696;76;330;
2024-05-15;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3117;339;1260;
2024-05-15;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3308;204;1041;
2024-05-15;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1143;151;640;
2024-05-15;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8503;1040;2993;
2024-05-15;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;775062;35173;206744;
