year,use,dwellings,area_m2
1968,1_residential,6,470.0
1972,1_residential,4,564.0
2006,1_residential,8,555.0
1994,1_residential,1,335.0
1993,1_residential,2,313.0
2007,1_residential,4,369.0
1964,1_residential,3,415.0
1978,1_residential,3,301.0
1970,1_residential,2,180.0
1973,1_residential,12,1142.0
1966,1_residential,4,500.0
1966,1_residential,8,959.0
1975,1_residential,5,587.0
1970,1_residential,10,1056.0
1967,1_residential,5,542.0
1960,1_residential,1,320.0
1972,1_residential,10,980.0
1977,1_residential,4,449.0
1963,1_residential,2,275.0
2010,1_residential,4,360.0
1976,1_residential,1,286.0
1985,1_residential,1,309.0
1972,1_residential,10,1107.0
1988,1_residential,4,427.0
1950,1_residential,1,139.0
1971,1_residential,5,599.0
1966,1_residential,4,515.0
1966,1_residential,4,438.0
1930,1_residential,1,47.0
1965,1_residential,1,196.0
1940,1_residential,1,100.0
2009,1_residential,4,384.0
1971,1_residential,10,944.0
1976,1_residential,3,463.0
1970,1_residential,5,580.0
1988,1_residential,3,495.0
1975,1_residential,2,237.0
1966,1_residential,2,160.0
1998,1_residential,2,359.0
1940,1_residential,1,90.0
1993,1_residential,1,326.0
2005,1_residential,13,2019.0
1991,1_residential,9,1417.0
1967,1_residential,12,756.0
1994,1_residential,8,1106.0
1965,1_residential,1,373.0
1990,1_residential,6,872.0
2004,1_residential,5,565.0
1964,1_residential,2,344.0
1964,1_residential,5,529.0
1960,1_residential,1,429.0
1967,1_residential,24,3015.0
1972,1_residential,10,1420.0
1987,1_residential,4,554.0
1960,1_residential,2,200.0
2005,1_residential,6,806.0
2010,1_residential,9,1607.0
1981,1_residential,16,1902.0
1960,1_residential,2,252.0
1964,1_residential,8,1153.0
1975,1_residential,2,313.0
1993,1_residential,10,1707.0
1960,1_residential,6,697.0
1950,1_residential,2,206.0
1960,1_residential,2,288.0
1940,1_residential,2,176.0
1965,1_residential,10,1272.0
1994,1_residential,8,1352.0
2004,1_residential,16,2248.0
1972,1_residential,10,1128.0
1970,1_residential,5,643.0
1945,1_residential,2,142.0
1978,1_residential,3,448.0
1945,1_residential,1,105.0
2003,1_residential,9,1240.0
