LOCALIDAD,CODIGO-POSTAL,USO,MES,CONSUMO (M3)
ALICANTE,03012,DOMESTICO,8,245.570
ALICANTE,03012,DOMESTICO,9,677
ALICANTE,03012,DOMESTICO,10,1.784
ALICANTE,03012,DOMESTICO,11,245.105
ALICANTE,03012,DOMESTICO,12,755
ALICANTE,03012,NO DOMESTICO,1,1.022
ALICANTE,03012,NO DOMESTICO,2,14.180
ALICANTE,03012,NO DOMESTICO,3,883
ALICANTE,03012,NO DOMESTICO,4,1.100
ALICANTE,03012,NO DOMESTICO,5,14.081
ALICANTE,03012,NO DOMESTICO,6,629
ALICANTE,03012,NO DOMESTICO,7,761
ALICANTE,03012,NO DOMESTICO,8,12.683
ALICANTE,03012,NO DOMESTICO,9,618
ALICANTE,03012,NO DOMESTICO,10,1.144
ALICANTE,03012,NO DOMESTICO,11,15.633
ALICANTE,03012,NO DOMESTICO,12,763
ALICANTE,03013,DOMESTICO,1,870
ALICANTE,03013,DOMESTICO,2,176.920
ALICANTE,03013,DOMESTICO,3,865
ALICANTE,03013,DOMESTICO,4,850
ALICANTE,03013,DOMESTICO,5,169.752
ALICANTE,03013,DOMESTICO,6,829
ALICANTE,03013,DOMESTICO,7,715
ALICANTE,03013,DOMESTICO,8,186.484
ALICANTE,03013,DOMESTICO,9,2.196
ALICANTE,03013,DOMESTICO,10,994
ALICANTE,03013,DOMESTICO,11,173.139
ALICANTE,03013,DOMESTICO,12,879
ALICANTE,03013,NO DOMESTICO,1,7.066
ALICANTE,03013,NO DOMESTICO,2,9.180
ALICANTE,03013,NO DOMESTICO,3,3.871
ALICANTE,03013,NO DOMESTICO,4,8.417
ALICANTE,03013,NO DOMESTICO,5,13.381
ALICANTE,03013,NO DOMESTICO,6,556
ALICANTE,03013,NO DOMESTICO,7,8.931
ALICANTE,03013,NO DOMESTICO,8,15.109
ALICANTE,03013,NO DOMESTICO,9,458
ALICANTE,03013,NO DOMESTICO,10,11.608
ALICANTE,03013,NO DOMESTICO,11,13.489
ALICANTE,03013,NO DOMESTICO,12,1.271
ALICANTE,03014,DOMESTICO,1,1.799
ALICANTE,03014,DOMESTICO,2,130.248
ALICANTE,03014,DOMESTICO,3,1.145
ALICANTE,03014,DOMESTICO,4,1.316
ALICANTE,03014,DOMESTICO,5,108.516
ALICANTE,03014,DOMESTICO,6,740
ALICANTE,03014,DOMESTICO,7,713
ALICANTE,03014,DOMESTICO,8,117.419
ALICANTE,03014,DOMESTICO,9,778
ALICANTE,03014,DOMESTICO,10,2.242
ALICANTE,03014,DOMESTICO,11,125.563
ALICANTE,03014,DOMESTICO,12,461
ALICANTE,03014,NO DOMESTICO,1,1.886
ALICANTE,03014,NO DOMESTICO,2,5.718
ALICANTE,03014,NO DOMESTICO,3,2.587
ALICANTE,03014,NO DOMESTICO,4,2.739
ALICANTE,03014,NO DOMESTICO,5,8.049
ALICANTE,03014,NO DOMESTICO,6,1.892
ALICANTE,03014,NO DOMESTICO,7,3.605
ALICANTE,03014,NO DOMESTICO,8,6.258
ALICANTE,03014,NO DOMESTICO,9,1.786
ALICANTE,03014,NO DOMESTICO,10,3.551
ALICANTE,03014,NO DOMESTICO,11,5.289
ALICANTE,03014,NO DOMESTICO,12,2.645
ALICANTE,03015,DOMESTICO,1,5.136
ALICANTE,03015,DOMESTICO,2,141.120
ALICANTE,03015,DOMESTICO,3,90.403
ALICANTE,03015,DOMESTICO,4,6.916
ALICANTE,03015,DOMESTICO,5,143.216
ALICANTE,03015,DOMESTICO,6,73.904
ALICANTE,03015,DOMESTICO,7,10.637
ALICANTE,03015,DOMESTICO,8,152.982
ALICANTE,03015,DOMESTICO,9,82.580
ALICANTE,03015,DOMESTICO,10,7.823
ALICANTE,03015,DOMESTICO,11,143.667
ALICANTE,03015,DOMESTICO,12,87.197
ALICANTE,03015,NO DOMESTICO,1,18.791
ALICANTE,03015,NO DOMESTICO,2,10.992
ALICANTE,03015,NO DOMESTICO,3,12.821
ALICANTE,03015,NO DOMESTICO,4,19.926
ALICANTE,03015,NO DOMESTICO,5,22.585
ALICANTE,03015,NO DOMESTICO,6,4.912
ALICANTE,03015,NO DOMESTICO,7,19.650
ALICANTE,03015,NO DOMESTICO,8,21.952
ALICANTE,03015,NO DOMESTICO,9,6.815
ALICANTE,03015,NO DOMESTICO,10,23.733
ALICANTE,03015,NO DOMESTICO,11,20.485
ALICANTE,03015,NO DOMESTICO,12,5.991
ALICANTE,03016,DOMESTICO,1,6.442
ALICANTE,03016,DOMESTICO,2,35.744
ALICANTE,03016,DOMESTICO,3,94.994
ALICANTE,03016,DOMESTICO,4,7.877
ALICANTE,03016,DOMESTICO,5,40.427
ALICANTE,03016,DOMESTICO,6,104.971
ALICANTE,03016,DOMESTICO,7,10.971
ALICANTE,03016,DOMESTICO,8,50.983
ALICANTE,03016,DOMESTICO,9,123.520
ALICANTE,03016,DOMESTICO,10,9.029
ALICANTE,03016,DOMESTICO,11,40.970
ALICANTE,03016,DOMESTICO,12,98.100
ALICANTE,03016,NO DOMESTICO,1,27.190
ALICANTE,03016,NO DOMESTICO,2,9.795
ALICANTE,03016,NO DOMESTICO,3,25.472
ALICANTE,03016,NO DOMESTICO,4,30.118
ALICANTE,03016,NO DOMESTICO,5,24.269
ALICANTE,03016,NO DOMESTICO,6,20.218
ALICANTE,03016,NO DOMESTICO,7,37.590
ALICANTE,03016,NO DOMESTICO,8,27.031
ALICANTE,03016,NO DOMESTICO,9,19.743
ALICANTE,03016,NO DOMESTICO,10,33.889
ALICANTE,03016,NO DOMESTICO,11,18.698
ALICANTE,03016,NO DOMESTICO,12,16.805
ALICANTE,03112,DOMESTICO,1,1.131
ALICANTE,03112,DOMESTICO,2,160
ALICANTE,03112,DOMESTICO,3,249
ALICANTE,03112,DOMESTICO,4,1.145
ALICANTE,03112,DOMESTICO,5,238
ALICANTE,03112,DOMESTICO,6,334
ALICANTE,03112,DOMESTICO,7,1.507
ALICANTE,03112,DOMESTICO,8,224
ALICANTE,03112,DOMESTICO,9,177
ALICANTE,03112,DOMESTICO,10,1.836
ALICANTE,03112,DOMESTICO,11,104
ALICANTE,03112,DOMESTICO,12,136
ALICANTE,03112,NO DOMESTICO,1,445
ALICANTE,03112,NO DOMESTICO,2,165
ALICANTE,03112,NO DOMESTICO,3,186
ALICANTE,03112,NO DOMESTICO,4,453
ALICANTE,03112,NO DOMESTICO,5,292
ALICANTE,03112,NO DOMESTICO,6,273
ALICANTE,03112,NO DOMESTICO,7,495
ALICANTE,03112,NO DOMESTICO,8,222
ALICANTE,03112,NO DOMESTICO,9,176
ALICANTE,03112,NO DOMESTICO,10,467
ALICANTE,03112,NO DOMESTICO,11,172
ALICANTE,03112,NO DOMESTICO,12,189
ALICANTE,03114,NO DOMESTICO,1,13.606
ALICANTE,03114,NO DOMESTICO,2,24
ALICANTE,03114,NO DOMESTICO,3,4.328
ALICANTE,03114,NO DOMESTICO,4,18.058
ALICANTE,03114,NO DOMESTICO,5,5.586
ALICANTE,03114,NO DOMESTICO,7,24.422
ALICANTE,03114,NO DOMESTICO,8,8.005
ALICANTE,03114,NO DOMESTICO,9,10
ALICANTE,03114,NO DOMESTICO,10,19.893
ALICANTE,03114,NO DOMESTICO,11,7.298
ALICANTE,03114,NO DOMESTICO,12,0
ALICANTE,03540,DOMESTICO,1,5.275
ALICANTE,03540,DOMESTICO,2,4.992
ALICANTE,03540,DOMESTICO,3,506.912
ALICANTE,03540,DOMESTICO,4,7.584
ALICANTE,03540,DOMESTICO,5,8.933
ALICANTE,03540,DOMESTICO,6,563.166
ALICANTE,03540,DOMESTICO,7,13.685
ALICANTE,03540,DOMESTICO,8,10.765
ALICANTE,03540,DOMESTICO,9,700.974
ALICANTE,03540,DOMESTICO,10,8.084
ALICANTE,03540,DOMESTICO,11,6.146
ALICANTE,03540,DOMESTICO,12,545.546
ALICANTE,03540,NO DOMESTICO,1,21.850
ALICANTE,03540,NO DOMESTICO,2,17.342
ALICANTE,03540,NO DOMESTICO,3,41.968
ALICANTE,03540,NO DOMESTICO,4,27.402
ALICANTE,03540,NO DOMESTICO,5,25.071
ALICANTE,03540,NO DOMESTICO,6,48.258
ALICANTE,03540,NO DOMESTICO,7,30.786
ALICANTE,03540,NO DOMESTICO,8,26.666
ALICANTE,03540,NO DOMESTICO,9,52.502
ALICANTE,03540,NO DOMESTICO,10,28.249
ALICANTE,03540,NO DOMESTICO,11,24.619
ALICANTE,03540,NO DOMESTICO,12,38.946
ALICANTE,03559,DOMESTICO,1,175
ALICANTE,03559,DOMESTICO,2,187
ALICANTE,03559,DOMESTICO,3,484
ALICANTE,03559,DOMESTICO,4,270
ALICANTE,03559,DOMESTICO,5,406
ALICANTE,03559,DOMESTICO,6,507
ALICANTE,03559,DOMESTICO,7,451
ALICANTE,03559,DOMESTICO,8,423
ALICANTE,03559,DOMESTICO,9,481
ALICANTE,03559,DOMESTICO,10,209
ALICANTE,03559,DOMESTICO,11,190
ALICANTE,03559,DOMESTICO,12,259
ALICANTE,03559,NO DOMESTICO,1,1.318
ALICANTE,03559,NO DOMESTICO,2,1.379
ALICANTE,03559,NO DOMESTICO,3,1.950
ALICANTE,03559,NO DOMESTICO,4,1.770
ALICANTE,03559,NO DOMESTICO,5,3.410
ALICANTE,03559,NO DOMESTICO,6,3.583
ALICANTE,03559,NO DOMESTICO,7,4.449
ALICANTE,03559,NO DOMESTICO,8,3.462
ALICANTE,03559,NO DOMESTICO,9,1.647
ALICANTE,03559,NO DOMESTICO,10,1.604
ALICANTE,03559,NO DOMESTICO,11,1.368
ALICANTE,03559,NO DOMESTICO,12,1.245
